file,relative_path,size_bytes,mtime_iso,md5,sha256
Benda et al 2013. Bats of Oman (see page 6).pdf,Benda et al 2013. Bats of Oman (see page 6).pdf,289131,2017-08-17T08:11:26,1dd5a3c0818d05a99ddb2d56be3d503a,3d399f2186144fc1e996fcc19a208a5354bc71cdeba97003f5e2ff12265d5907
"Boeadi  1990 On two new specimens of Otomops formosus Chasen, 1939.pdf","Boeadi  1990 On two new specimens of Otomops formosus Chasen, 1939.pdf",598072,2011-03-25T11:49:58,e460f02caff6f4a6520f54e6e8e4d16d,f5a8699e8c81e7cc03c3d83ef11fcd6c925bd88e38b561bee9ed3c440bce9b7c
Castella et al 2000 Gene flow across Gibralter Strait in Myotis myotis.pdf,Castella et al 2000 Gene flow across Gibralter Strait in Myotis myotis.pdf,709500,2001-02-20T07:37:40,b9edeed7f7d59ce348d48ae9d831a363,12145df43ecc570ff5705692e9634e3a2b74f418686c7a9eada9ae34b2efb6f3
Castella et al 2000 Is the Gibraltar Strait a barrier to gene flow for the bat Myotis myotis.pdf,Castella et al 2000 Is the Gibraltar Strait a barrier to gene flow for the bat Myotis myotis.pdf,709500,2011-10-28T06:00:00,b9edeed7f7d59ce348d48ae9d831a363,12145df43ecc570ff5705692e9634e3a2b74f418686c7a9eada9ae34b2efb6f3
Castiglia_etal_2007.pdf,Castiglia_etal_2007.pdf,602073,2007-07-26T10:18:44,23b080dff816e0b4bd98d922e1bd185c,a302aa59710146f49ff6e7c2c8da8259f54881c22b4d34995c2e52f585598254
Chutipong et al 2014 Sampling_mammalian_carnivores_in_western Thailand.pdf,Chutipong et al 2014 Sampling_mammalian_carnivores_in_western Thailand.pdf,818692,2020-11-27T18:54:50,8154a1051e9408a2d7df8716434ddfbe,1017e014fc99a0d983d9799bc91e024600d77bbc6bd94d75988409582810b59f
Chutipong et al. 2014 Sampling_mammalian_carnivores_in_western Thailand.pdf,Chutipong et al. 2014 Sampling_mammalian_carnivores_in_western Thailand.pdf,818692,2020-12-04T15:38:10,8154a1051e9408a2d7df8716434ddfbe,1017e014fc99a0d983d9799bc91e024600d77bbc6bd94d75988409582810b59f
Conservation Biology 2002.pdf,Conservation Biology 2002.pdf,170771,2004-03-04T03:57:18,3f8c3a690f82bfa06c2437210d70e277,1495c619b8d4ac001aa60a9e7d16b6c78a1082c20a52156f70e9498e9c45071d
Csorba (2011) - A new species of Glischropus.pdf,Csorba (2011) - A new species of Glischropus.pdf,1432974,2015-11-25T06:18:32,0f9c36a232269235c1674651a3473c06,eef9346ea3d3f4f543de6d6158877d0e7cf0fe589b4723736fb8300d5ed00d30
Csorba 2011 A new species of Glischropus from the Indochinese subregion.pdf,Csorba 2011 A new species of Glischropus from the Indochinese subregion.pdf,1432974,2019-02-06T14:55:10,0f9c36a232269235c1674651a3473c06,eef9346ea3d3f4f543de6d6158877d0e7cf0fe589b4723736fb8300d5ed00d30
Csorba et al 2007 A new species of Murina from Vietnam.pdf,Csorba et al 2007 A new species of Murina from Vietnam.pdf,595138,2009-05-08T07:32:30,6a18c1cda7cfb38752aeac0c6e932237,69ce618904f65d57bf86602a0b15b9e64400c16a6686c7a512d4b0dc9dab2415
"Dietz & von Helversen 2004 Illustrated identification key to European Bats, Part 2.pdf","Dietz & von Helversen 2004 Illustrated identification key to European Bats, Part 2.pdf",3844788,2011-06-27T05:43:26,80d626c1f061d88066557fd7046f3b22,c834fc2a84c1e65290df16191b10fef4f340a54391f96095e43cbce4d1a1e19c
Dietz & von Helversen n.k. Identification key to the bats of Europe.pdf,Dietz & von Helversen n.k. Identification key to the bats of Europe.pdf,3844788,2010-06-26T04:51:28,80d626c1f061d88066557fd7046f3b22,c834fc2a84c1e65290df16191b10fef4f340a54391f96095e43cbce4d1a1e19c
Dobson 1878  Catalogue of the Chiroptera BM.pdf,Dobson 1878  Catalogue of the Chiroptera BM.pdf,59705448,2011-08-31T08:56:54,56384a6778e2c67bbd8ebe4d63f770cf,a38352c608bafdb87cd6d77211dadffa460c0f7978ae5ed3fa38f9ba4d16836c
"Folia Zoologica,2007.pdf","Folia Zoologica,2007.pdf",123032,2007-07-25T10:16:02,04dd4b3ede10f8ce35be9f92e605f9dc,e099dedfb93487608ad0060bb773a5e7932fd5057914a55bbebe85f8655c0232
Furey et al. 2018 C. plicatus.pdf,Furey et al. 2018 C. plicatus.pdf,1831463,2022-02-27T12:08:54,c383ee6cd10b0dd975eaba1a709bbc87,0923b78d9cc147a94fd306b182561ac3331dc3233b66325eb424f8d25c2ff51e
