"archived_at","original_relative_path","archive_relative_path","file_count","reason"
"20260629_104941","processed_runs\20260623_112300_full-text-bat-screen","archive\20260629_104941_superseded_workflow_outputs\processed_runs\20260623_112300_full-text-bat-screen","3503","superseded by processed_runs\20260623_132514_Bates_2026 and upload-ready enhanced metadata folder"
"20260629_104941","processed_runs\20260623_120000_bibliography-output","archive\20260629_104941_superseded_workflow_outputs\processed_runs\20260623_120000_bibliography-output","3522","superseded by processed_runs\20260623_132514_Bates_2026 and upload-ready enhanced metadata folder"
"20260629_104941","processed","archive\20260629_104941_superseded_workflow_outputs\processed","6512","superseded by processed_runs\20260623_132514_Bates_2026 and upload-ready enhanced metadata folder"
